id,artist,aliases,era,genres,age,fame_tier,kz_origin,notes
edo-hunnidz,Edo Hunnidz,Эдо Ханнидз,2020-now,rap|meme,18plus,5,confirmed,"Вирусные Men Qazaqpyn, Vip Qazaq, Маған Pohu. Одна-две песни но взорвали"
ghetto-dogs,Ghetto Dogs,,2000s-2010s,rap,18plus,3,confirmed,Город 7272 Восточная ночь Ханка. Классика КЗ рэпа
batyr,Батыр,Batyr Shukenov,2000s-now,pop,family,2,confirmed,Гүл Алматы Қайран көңіл-ай
marsel,Marsel,Марсель Алсеитов,2010s-now,pop|toi,family,3,confirmed,Асыл жаным ай Бұл өмірде
zhanar-dugalova,Zhanar Dugalova,Жанар Дугалова,2010s-now,pop,family,3,confirmed,Сүйем-жек көрем
meirambek-besbayev,Meirambek Besbayev,Мейрамбек Беспаев,2000s-now,toi|estrada,family,2,confirmed,Сен үшін жаралғандаймын
qurmash-makhan,Qurmash Makhan,Құрмаш Махан,2000s-now,toi|estrada,family,3,confirmed,Жан сырым Аңсарым
karakat-abildina,Қарақат Әбілдіна,Karakat Abildina,2000s-now,folk|estrada,family,2,confirmed,Балапан Қаз
ulytau,Ulytau,Ұлытау,2000s-now,folk|rock|instrumental,family,2,confirmed,Этно-рок. Инструментал сложнее угадывать
turan,Turan,Turan Ensemble,2008-now,folk|ethno,family,3,confirmed,Этно-фолк ансамбль
eskendir-hasangaliev,Ескендір Хасанғалиев,Eskendir Hasangaliev,1970s-now,retro|folk,family,3,confirmed,Атамекен Жанарым
gazizkhan-shekerbek,Gazizkhan Shekerbek,Ғазизхан Шекербек,2015-now,pop|toi,family,3,confirmed,Көріктім MANTRA Сенсің
taspay,Taspay,Таспай,2018-now,pop,family,3,confirmed,Seni izdeimin Сүйгенді Сүй
dastan-orazbekov,Dastan Orazbekov,Дастан Оразбеков,2018-now,pop,family,3,confirmed,Begimai Ekeumiz
ali-okapov,Ali Okapov,Али Окапов,2016-now,pop,family,3,confirmed,Биле
son-pascal,Son Pascal,,2018-now,indie|alt,family,3,confirmed,Men Seni Suyemin Yurt
lucaveros,LUCAVEROS,,2018-now,pop|electronic,family,3,verify,Almaty Дома. Сильно в чарте KZ. Уточнить происхождение
imanbek,Imanbek,Иманбек Зейкенов,2019-now,electronic|remix,family,2,confirmed,Grammy. Roses remix Belly Dancer
zaq,ZAQ,,2018-now,pop|qpop,family,3,confirmed,Digidik
ali-tuimedaq,Ali,,2019-now,indie,family,4,confirmed,Ğalamtor Dos
arshat,ARShAT,Аршат,2020-now,indie|acoustic,family,4,confirmed,Gashyqpyn sagan Soqyr aqyn
plecto,plecto,,2020-now,indie,family,4,confirmed,Sözderin gashyq boldym
zhugunusov-miras,Жүгунусов Мирас,Miras Zhugunussov,2019-now,pop|rnb,family,3,confirmed,Шыда Зымыран UAQYT Әндетемін
aidana-medenova,Айдана Меденова,Aidana Medenova,2015-now,pop,family,3,confirmed,Менімен биле
serik-ibragimov,Serik Ibragimov,Серік Ибрагимов,2015-now,pop|toi,family,4,confirmed,Бізде ше
berkut,Беркут,Berkut,2010s-now,pop|toi,family,3,confirmed,Тау-тау сезім Тұф
ayree,Ayree,Айри,2020-now,pop|rnb,family,4,confirmed,Oiladyn Ba Жұлдызым
dasdinlovee,Dasdinlovee,,2020-now,indie|rnb,family,4,confirmed,Eles KETPE
6ellucci,6ELLUCCI,,2020-now,rap|rnb,18plus,3,confirmed,KZO Kobelek ideal
junior,Junior,,2019-now,rap,18plus,4,confirmed,NE ANGIME KZO II
whole-lotta-swag,Whole Lotta Swag,WLS,2018-now,rap|underground,18plus,4,confirmed,2015 Обнял поцеловал
raida,Райда,Raida,2017-now,rnb|rap,18plus,3,confirmed,Секреты Baby mama
hiro,Hiro,Хиро,2018-now,rap|rnb,18plus,4,confirmed,Особа крутая moonfantom
maslo-chernogo-tmina,масло чёрного тмина,,2019-now,alt|underground,18plus,4,confirmed,МИР
captown,CAPTOWN,,2018-now,rap,18plus,4,confirmed,Ляйсан
dequine,Dequine,,2019-now,pop|rnb,family,4,confirmed,Матча чай Движения
argonya,Argonya,Аргоня,2019-now,pop,family,3,confirmed,Синтезатор Sendei Aru Zhok
qanay,Qanay,Қанай,2020-now,pop|rnb,family,4,confirmed,Mynmen
2rar,2Rar,,2019-now,pop|rnb,family,4,confirmed,Men Eshkimdi Suimeimin
amre,Amre,Амре,2016-now,pop,family,3,confirmed,Осы музыка ұнайды
jeltoksan,jeltoksan.,Желтоксан,2020-now,indie,family,4,confirmed,Men de Suyem
mynbay,MYNBAY,Мынбай,2022-now,pop,family,3,confirmed,Бұзық Жұлдыз. Топ чарта
delin,DELIN,,2022-now,pop,family,3,confirmed,Ayaulym. Топ чарта
isatay,Isatay,Исатай,2021-now,pop,family,4,confirmed,Ai ai
aidyn-zhumakhan,Aidyn Zhumakhan,Айдын Жумахан,2021-now,pop|toi,family,4,confirmed,Top Tompaq
merey,MEREY,Мерей,2021-now,pop,family,4,confirmed,Betperde
ilhan,IL'HAN,Ильхан,2021-now,pop,family,4,confirmed,Country Арман
gassyr,Gassyr,Ғасыр,2021-now,pop,family,4,confirmed,Aidaiym
qanat-erlan,Қанат Ерлан,Qanat Erlan,2020-now,pop|toi,family,4,confirmed,Saǵynamyn Қарақшы
omirqul-ainiyazov,Өмірқұл Айниязов,Omirqul Ainiyazov,2020-now,toi|pop,family,4,confirmed,13-қабырғам
esen-zhusipov,Есен Жүсіпов,Esen Zhusipov,2021-now,pop,family,4,confirmed,Ару
nurzhas-sadirbaev,Нұржас Сәдірбаев,Nurzhas Sadirbaev,2020-now,pop,family,4,confirmed,Біз қателестік
yerbolat-qudaibergenov,Yerbolat Qudaibergenov,Ерболат Құдайбергенов,2019-now,pop|patriotic,family,3,confirmed,Men Qazaq Erke qyz Lyazzat Alauy
dosekesh,Dosekesh,Досекеш,2020-now,pop|rnb,family,4,confirmed,Taspa
akimmmich,akimmmich,,2021-now,rnb|indie,family,4,confirmed,Suie Tura
asik,Asik,Асик,2021-now,pop,family,4,confirmed,Sagynbaimyn
abik-jeksen,Abik Jeksen,Әбік Жексен,2018-now,pop|toi,family,4,confirmed,Жолдар
zhubanysh-zheksenuly,Жұбаныш Жексенұлы,Zhubanysh,2018-now,toi|pop,family,4,confirmed,Өкінбе сен
malik-zhambyluly,Мәлік Жамбылұлы,Malik Zhambyluly,2019-now,toi|folk,family,4,confirmed,Аягөз Қайда Барасың
izbasar-kenesov,Izbasar Kenesov,Избасар Кенесов,2019-now,pop,family,4,confirmed,Ademim Nesine Asygady
gadilbek-zhanay,Gadilbek Zhanay,Гадилбек Жанай,2019-now,toi|pop,family,4,confirmed,Ханшайым
erke-esmahan,Erke Esmahan,Ерке Есмахан,2018-now,pop,family,4,confirmed,Қайда
alzabi,AlZaBi,,2019-now,patriotic|pop,family,4,confirmed,Байрағым
ushkyn-zhamalbek,Ushkyn Zhamalbek,Ұшқын Жамалбек,2018-now,patriotic|toi,family,4,confirmed,Мен қазақтың баласы Асау жүрек Мұзбалақ
kental,Kental,Кентал,2020-now,rap|patriotic,family,4,confirmed,Халқым
renat-gaisin,Ренат Гайсин,Renat Gaisin,2015-now,pop,family,4,confirmed,Сүйемін
nurlan-alimzhan,Кеңес Әлімжан,Kenes Alimzhan,2010s-now,toi|estrada,family,4,confirmed,Өз жүрегіңнен ұялмайсың ба
erkesh-khasen,Еркеш Хасен,Erkesh Khasen,1990s-2010s,retro|estrada,family,4,confirmed,Кездесуге келмедің
asyl-mura,Asyl Müra,,retro-compilation,retro|estrada,family,3,confirmed,Сборники советской казахской эстрады. Ретро-категория
kurmanai-omarova,Құрманай Омарова,Kurmanai Omarova,1970s-1990s,retro|estrada,family,3,confirmed,Бәрінен де сен сұлу Сағындым сені
nurlan-onerbaev,Нұрлан Өнербаев,Nurlan Onerbaev,1980s-2000s,retro|estrada,family,3,confirmed,Классика эстрады
makpal-zhunusova,Мақпал Жүнісова,Makpal Zhunusova,1980s-now,retro|estrada,family,3,confirmed,Классика эстрады
nagima-eskalieva,Нағима Есқалиева,Nagima Eskalieva,1980s-now,retro|estrada,family,3,confirmed,Классика эстрады
